x,u
0.00495049,-0.0213861
0.00990099,-0.0427247
0.0148515,-0.0630495
0.019802,-0.0817588
0.0247525,-0.0978878
0.029703,-0.114067
0.0346535,-0.124588
0.039604,-0.134626
0.0445545,-0.141677
0.0495049,-0.144165
0.0544554,-0.144985
0.0594059,-0.141093
0.0643564,-0.138846
0.0693069,-0.127253
0.0742574,-0.120041
0.0792079,-0.104338
0.0841584,-0.0939619
0.0891089,-0.0765189
0.0940594,-0.0616833
0.0990099,-0.0442498
0.10396,-0.0293982
0.108911,-0.0122443
0.113861,0.000294739
0.118812,0.0157043
0.123762,0.0283288
0.128713,0.0350739
0.133663,0.0477446
0.138614,0.048343
0.143564,0.057279
0.148515,0.0551716
0.153465,0.0544438
0.158416,0.0526429
0.163366,0.0460695
0.168317,0.0401421
0.173267,0.0309887
0.178218,0.0199623
0.183168,0.01059
0.188119,-0.00244377
0.193069,-0.0150343
0.19802,-0.0276962
0.20297,-0.039163
0.207921,-0.0541777
0.212871,-0.0622667
0.217822,-0.0771226
0.222772,-0.0842382
0.227723,-0.0953264
0.232673,-0.103016
0.237624,-0.108542
0.242574,-0.115539
0.247525,-0.120621
0.252475,-0.122306
0.257426,-0.125257
0.262376,-0.126399
0.267327,-0.128738
0.272277,-0.125523
0.277228,-0.125524
0.282178,-0.123653
0.287129,-0.12333
0.292079,-0.116824
0.29703,-0.115008
0.30198,-0.111467
0.306931,-0.107863
0.311881,-0.0999883
0.316832,-0.0954545
0.321782,-0.0900656
0.326733,-0.082322
0.331683,-0.0741094
0.336634,-0.0632772
0.341584,-0.0573693
0.346535,-0.0438767
0.351485,-0.0329833
0.356436,-0.020231
0.361386,-0.00606694
0.366337,0.00676222
0.371287,0.0221464
0.376238,0.0392033
0.381188,0.0520544
0.386139,0.071922
0.391089,0.0831166
0.39604,0.102755
0.40099,0.115433
0.405941,0.129848
0.410891,0.143656
0.415842,0.153632
0.420792,0.164562
0.425743,0.172048
0.430693,0.176392
0.435644,0.181936
0.440594,0.179957
0.445545,0.179734
0.450495,0.173568
0.455446,0.166931
0.460396,0.155943
0.465347,0.143032
0.470297,0.128444
0.475248,0.108831
0.480198,0.0916747
0.485149,0.0688931
0.490099,0.0475435
0.495049,0.0230719
