x,u
0,0
0.00990099,0.000123239
0.019802,0.000246479
0.029703,0.000369721
0.039604,0.000492964
0.049505,0.00061621
0.0594059,0.000739459
0.0693069,0.000862711
0.0792079,0.000985967
0.0891089,0.00110923
0.0990099,0.00123249
0.108911,0.00135576
0.118812,0.00147904
0.128713,0.00160232
0.138614,0.00172561
0.148515,0.00184891
0.158416,0.00197221
0.168317,0.00209553
0.178218,0.00221885
0.188119,0.00234217
0.19802,0.00246551
0.207921,0.00258886
0.217822,0.00271222
0.227723,0.00283559
0.237624,0.00295897
0.247525,0.00308236
0.257426,0.00320576
0.267327,0.00332917
0.277228,0.0034526
0.287129,0.00357603
0.29703,0.00369948
0.306931,0.00382295
0.316832,0.00394642
0.326733,0.00406991
0.336634,0.00419341
0.346535,0.00431693
0.356436,0.00444046
0.366337,0.00456401
0.376238,0.00468757
0.386139,0.00481114
0.39604,0.00493473
0.405941,0.00505834
0.415842,0.00518195
0.425743,0.00530559
0.435644,0.00542924
0.445545,0.0055529
0.455446,0.00567658
0.465347,0.00580028
0.475248,0.00592399
0.485149,0.00604772
0.49505,0.00617146
0.50495,0.00629522
0.514851,0.00640919
0.524752,0.00651337
0.534653,0.00660777
0.544554,0.00669238
0.554455,0.0067672
0.564356,0.00683223
0.574257,0.00688747
0.584158,0.00693293
0.594059,0.0069686
0.60396,0.00699448
0.613861,0.00701057
0.623762,0.00701687
0.633663,0.00701339
0.643564,0.00700011
0.653465,0.00697705
0.663366,0.00694419
0.673267,0.00690155
0.683168,0.00684912
0.693069,0.00678689
0.70297,0.00671488
0.712871,0.00663307
0.722772,0.00654148
0.732673,0.00644009
0.742574,0.00632891
0.752475,0.00620793
0.762376,0.00607717
0.772277,0.00593661
0.782178,0.00578626
0.792079,0.00562612
0.80198,0.00545618
0.811881,0.00527644
0.821782,0.00508692
0.831683,0.00488759
0.841584,0.00467847
0.851485,0.00445956
0.861386,0.00423085
0.871287,0.00399234
0.881188,0.00374403
0.891089,0.00348593
0.90099,0.00321803
0.910891,0.00294033
0.920792,0.00265283
0.930693,0.00235553
0.940594,0.00204843
0.950495,0.00173153
0.960396,0.00140483
0.970297,0.00106832
0.980198,0.000722018
0.990099,0.00036591
1,0
