x,u
0,0
0.00990099,0.000123738
0.019802,0.000247475
0.029703,0.000371213
0.039604,0.000494951
0.049505,0.000618689
0.0594059,0.000742426
0.0693069,0.000866164
0.0792079,0.000989902
0.0891089,0.00111364
0.0990099,0.00123738
0.108911,0.00136112
0.118812,0.00148486
0.128713,0.00160859
0.138614,0.00173233
0.148515,0.00185607
0.158416,0.00197981
0.168317,0.00210355
0.178218,0.00222729
0.188119,0.00235103
0.19802,0.00247477
0.207921,0.00259851
0.217822,0.00272225
0.227723,0.00284599
0.237624,0.00296973
0.247525,0.00309347
0.257426,0.00321721
0.267327,0.00334096
0.277228,0.0034647
0.287129,0.00358844
0.29703,0.00371218
0.306931,0.00383593
0.316832,0.00395967
0.326733,0.00408341
0.336634,0.00420716
0.346535,0.0043309
0.356436,0.00445464
0.366337,0.00457839
0.376238,0.00470213
0.386139,0.00482588
0.39604,0.00494963
0.405941,0.00507337
0.415842,0.00519712
0.425743,0.00532087
0.435644,0.00544461
0.445545,0.00556836
0.455446,0.00569211
0.465347,0.00581586
0.475248,0.00593961
0.485149,0.00606336
0.49505,0.00618711
0.50495,0.00631086
0.514851,0.00642481
0.524752,0.00652895
0.534653,0.00662329
0.544554,0.00670783
0.554455,0.00678257
0.564356,0.00684751
0.574257,0.00690264
0.584158,0.00694797
0.594059,0.00698349
0.60396,0.00700922
0.613861,0.00702514
0.623762,0.00703126
0.633663,0.00702758
0.643564,0.00701409
0.653465,0.0069908
0.663366,0.00695771
0.673267,0.00691482
0.683168,0.00686212
0.693069,0.00679962
0.70297,0.00672732
0.712871,0.00664522
0.722772,0.00655331
0.732673,0.0064516
0.742574,0.00634009
0.752475,0.00621877
0.762376,0.00608765
0.772277,0.00594673
0.782178,0.00579601
0.792079,0.00563549
0.80198,0.00546516
0.811881,0.00528503
0.821782,0.00509509
0.831683,0.00489536
0.841584,0.00468582
0.851485,0.00446647
0.861386,0.00423733
0.871287,0.00399838
0.881188,0.00374963
0.891089,0.00349108
0.90099,0.00322272
0.910891,0.00294456
0.920792,0.0026566
0.930693,0.00235883
0.940594,0.00205127
0.950495,0.0017339
0.960396,0.00140672
0.970297,0.00106975
0.980198,0.000722967
0.990099,0.000366385
1,0
